condition	task_id	category	reading_chars	correct	no_intervention	keys	commits	corrections	terminators	display_changes	flicker	stable_overwrites	chosen_overwrites	stale_results_discarded	to_stable	to_chosen	to_provisional	elapsed_ms	sent_presses	input_mismatch	aligned_elapsed_ms	fix_steps	status
O	D04	数値	13	1	0	19	2	1	1	0	0	0	0	0	0	0	0	31035	20	0	-1	convert,pick0,pick1	ok
O	U04	URL	23	1	0	36	4	2	1	0	0	0	0	0	0	0	0	55519	37	0	-1	convert,pick0,pick0,pick1,pick0,pick1	ok
O	E01	英語混在	21	1	0	27	1	0	1	0	0	0	0	0	0	0	0	21712	28	0	-1	convert	ok
O	P01	名前	15	1	0	15	1	0	1	0	0	0	0	0	0	0	0	17904	16	0	-1	convert	ok
O	C01	過去訂正	14	1	0	21	4	1	1	0	0	0	0	0	0	0	0	6144	22	0	44400	convert,pick0,pick2,pick0,pick0	ok
O	E04	英語混在	21	1	0	30	3	1	1	0	0	0	0	0	0	0	0	41272	31	0	-1	convert,pick0,pick0,pick1	ok
O	Q01	句点なし	5	1	0	6	1	0	1	0	0	0	0	0	0	0	0	14286	7	0	-1	convert	ok
O	D01	数値	14	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19562	21	0	-1	convert	ok
O	C04	過去訂正	12	1	0	17	3	1	1	0	0	0	0	0	0	0	0	5020	18	0	36838	convert,pick0,pick1,pick0	ok
O	H01	同音異義語	14	1	0	16	1	1	1	0	0	0	0	0	0	0	0	24096	17	0	-1	convert,pick1	ok
O	U01	URL	20	1	1	25	0	0	1	0	0	0	0	0	0	0	0	15319	26	0	-1		ok
O	Q04	句点なし	9	1	0	11	1	0	1	0	0	0	0	0	0	0	0	16509	12	0	-1	convert	ok
O	L04	長文	50	1	0	67	10	1	1	0	0	0	0	0	0	0	0	97727	68	0	-1	convert,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick2	ok
O	L01	長文	50	1	0	61	2	2	1	0	0	0	0	0	0	0	0	53004	62	0	-1	convert,pick1,pick0,pick1	ok
O	P04																						abort
O	N04	通常文	15	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18452	18	0	-1	convert	ok
O	N01	通常文	14	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18490	18	0	-1	convert	ok
O	H04	同音異義語	16	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19691	21	0	-1	convert	ok
O	U02	URL	30	1	0	42	5	1	1	0	0	0	0	0	0	0	0	57370	43	0	-1	convert,pick0,pick0,pick0,pick0,pick1	ok
O	L02	長文	48	1	0	53	1	0	1	0	0	0	0	0	0	0	0	32162	54	0	-1	convert	ok
O	D02	数値	13	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18428	18	0	-1	convert	ok
O	H05	同音異義語	11	1	0	11	1	0	1	0	0	0	0	0	0	0	0	15518	12	0	-1	convert	ok
O	N02	通常文	13	1	0	14	1	0	1	0	0	0	0	0	0	0	0	17203	15	0	-1	convert	ok
O	C05	過去訂正	12	1	0	15	3	1	1	0	0	0	0	0	0	0	0	4319	16	0	36398	convert,pick2,pick0,pick0	ok
O	C02	過去訂正	13	1	0	18	3	1	1	0	0	0	0	0	0	0	0	5287	19	0	36995	convert,pick0,pick1,pick0	ok
O	U05	URL	22	0	0	41	4	0	1	0	0	0	0	0	0	0	0	63828	42	0	-1	convert,pick0,pick0,pick0,open-grid,scroll,grid-absent-full,close-grid,resize-no-reading,no-candidate	ok
O	P05	名前	17	1	0	23	1	0	1	0	0	0	0	0	0	0	0	20745	24	0	-1	convert	ok
