condition	task_id	category	reading_chars	correct	no_intervention	keys	commits	corrections	terminators	display_changes	flicker	stable_overwrites	chosen_overwrites	stale_results_discarded	to_stable	to_chosen	to_provisional	elapsed_ms	sent_presses	input_mismatch	aligned_elapsed_ms	fix_steps	status
O	D04	数値	13	1	0	19	2	1	1	0	0	0	0	0	0	0	0	30397	20	0	-1	convert,pick0,pick1	ok
O	U04	URL	23	1	0	36	4	2	1	0	0	0	0	0	0	0	0	55306	37	0	-1	convert,pick0,pick0,pick1,pick0,pick1	ok
O	E01	英語混在	21	1	0	27	1	0	1	0	0	0	0	0	0	0	0	22062	28	0	-1	convert	ok
O	P01	名前	15	1	0	15	1	0	1	0	0	0	0	0	0	0	0	17801	16	0	-1	convert	ok
O	C01	過去訂正	14	1	0	19	2	1	1	0	0	0	0	0	0	0	0	31604	20	0	-1	convert,pick0,pick2	ok
O	E04	英語混在	21	1	0	30	3	1	1	0	0	0	0	0	0	0	0	40861	31	0	-1	convert,pick0,pick0,pick1	ok
O	Q01	句点なし	5	1	0	6	1	0	1	0	0	0	0	0	0	0	0	14040	7	0	-1	convert	ok
O	D01	数値	14	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19336	21	0	-1	convert	ok
O	C04	過去訂正	12	1	0	16	2	1	1	0	0	0	0	0	0	0	0	30234	17	0	-1	convert,pick0,pick1	ok
O	H01	同音異義語	14	1	0	16	1	1	1	0	0	0	0	0	0	0	0	23957	17	0	-1	convert,pick1	ok
O	U01	URL	20	1	1	25	0	0	1	0	0	0	0	0	0	0	0	15101	26	0	-1		ok
O	Q04	句点なし	9	1	0	11	1	0	1	0	0	0	0	0	0	0	0	16226	12	0	-1	convert	ok
O	L04	長文	50	1	0	67	10	1	1	0	0	0	0	0	0	0	0	97834	68	0	-1	convert,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick2	ok
O	L01	長文	50	1	0	61	2	2	1	0	0	0	0	0	0	0	0	52313	62	0	-1	convert,pick1,pick0,pick1	ok
O	P04																						abort
O	P04																						abort
O	P04																						abort
O	N04	通常文	15	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18659	18	0	-1	convert	ok
O	N01	通常文	14	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18469	18	0	-1	convert	ok
O	H04	同音異義語	16	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19742	21	0	-1	convert	ok
O	U02	URL	30	1	0	42	5	1	1	0	0	0	0	0	0	0	0	57865	43	0	-1	convert,pick0,pick0,pick0,pick0,pick1	ok
O	L02	長文	48	1	0	53	1	0	1	0	0	0	0	0	0	0	0	32211	54	0	-1	convert	ok
